,open,high,low,close,volume
2019-10-22,58.0,60.0,58.0,60.0,50.0
2019-09-30,58.65,58.65,58.55,58.55,50.0
2019-09-26,60.0,60.0,60.0,60.0,0.0
2019-09-09,61.0,61.0,61.0,61.0,0.0
2019-09-06,61.0,61.0,61.0,61.0,480.0
2019-08-06,61.3,61.3,61.0,61.0,59.0
2019-07-09,62.99,62.99,62.99,62.99,5.0
2019-07-01,55.0,55.0012,55.0,55.0,0.0
2019-06-26,64.5,64.5,64.5,64.5,0.0
2019-06-07,64.98,64.98,61.1043,61.5,20.0
2019-06-06,61.5,61.5,61.5,61.5,0.0
2019-06-05,61.5,61.5011,61.5,61.5,0.0
2019-06-04,64.98,64.98,61.1,61.5,20.0
2019-06-03,65.0,65.0035,65.0,65.0,9.0
2019-05-31,61.5,61.5,61.5,61.5,145.0
2019-05-30,62.85,66.9,62.85,66.9,33.0
2019-05-29,18.8,18.8005,18.8,18.8,1600.0
2019-05-28,61.5,61.5,61.5,61.5,5.0
2019-05-24,62.9017,62.9,61.5,61.5,302215.0
2019-05-23,63.0,63.0,63.0,63.0,0.0
2019-05-22,63.0,63.0,63.0,63.0,0.0
2019-05-21,60.0,63.0,60.0,63.0,260.0
2019-05-20,61.2971,61.3,61.3,61.3,0.0
2019-05-17,61.3,61.3,61.3,61.3,0.0
2019-05-16,61.3,61.2993,61.3,61.3,0.0
2019-05-15,61.3,61.3,61.3,61.3,0.0
2019-05-14,57.21,61.3,57.21,61.3,146.0
2019-05-13,61.5,61.5,61.5,61.5,3.0
2019-05-10,61.67,61.67,61.67,61.67,0.0
2019-05-09,61.67,61.67,61.67,61.67,0.0
2019-05-08,61.67,61.67,61.67,61.67,0.0
2019-05-07,61.67,61.6707,61.67,61.67,3.0
2019-05-06,60.0,61.69,56.38,61.69,23.0
2019-05-03,61.75,61.75,61.75,61.75,10.0
2019-05-02,61.74,61.74,61.74,61.74,2.0
2019-05-01,61.77,61.77,61.77,61.77,0.0
2019-04-30,61.8,61.8,61.77,61.77,10.0
2019-04-29,61.89,61.89,61.88,61.88,2.0
2019-04-26,61.94,61.94,61.94,61.94,0.0
2019-04-25,61.94,61.94,61.94,61.94,0.0
2019-04-24,61.95,61.95,61.9391,61.94,6191.0
2019-04-23,61.98,61.98,60.0,60.0,3878.0
2019-04-22,60.5,60.5,60.5,60.5,1.0
2019-04-18,62.94,62.9343,62.94,62.94,0.0
2019-04-17,60.0,62.94,60.0,62.94,160.0
2019-04-16,60.52,60.5151,60.52,60.52,8.0
2019-04-15,61.9454,61.95,60.53,60.53,74.0
2019-04-12,61.05,61.05,60.55,60.55,67.0
2019-04-11,61.09,61.09,61.0,61.0,28.0
2019-04-10,61.01,61.01,61.01,61.01,0.0
2019-04-09,62.5,62.5,61.01,61.01,335.0
2019-04-08,62.0,61.9993,62.0,62.0,1.0
2019-04-05,19.14,19.2,19.14,19.14,23500.0
2019-04-04,63.0,63.0,63.0,63.0,0.0
2019-04-03,61.0,63.0,61.0036,63.0,91.0
2019-04-02,63.0,63.0,63.0,63.0,0.0
2019-04-01,63.0,63.0,63.0,63.0,0.0
2019-03-29,61.05,63.0,61.0,63.0,1410.0
2019-03-28,61.01,61.01,61.01,61.01,133.0
2019-03-27,61.0,63.9887,61.0,63.99,142.0
2019-03-26,64.0,64.0,64.0,64.0,0.0
2019-03-25,64.0,64.0,60.9937,64.0,799.0
2019-03-22,63.0,63.0,61.0,61.0,4228.0
2019-03-21,19.16,19.18,18.9,18.9,14200.0
2019-03-20,62.0,62.0,62.0,62.0,300.0
2019-03-19,62.8,62.8,62.8,62.8,100.0
2019-03-18,64.0,64.0,64.0,64.0,0.0
2019-03-15,64.0,64.0,64.0002,64.0,0.0
2019-03-14,64.0,64.0,64.0,64.0,0.0
2019-03-13,64.0,63.9996,64.0,64.0,0.0
2019-03-12,64.0,64.0,64.0,64.0,5.0
2019-03-11,63.7,63.7,63.7,63.7,10.0
2019-03-08,63.0,63.0,63.0,63.0,25.0
2019-03-07,63.0,63.45,63.0,63.45,170.0
2019-03-06,63.0,63.0,63.0,63.0,0.0
2019-03-05,63.0,63.0,63.0,63.0,5.0
2019-03-04,61.0021,61.0,61.0,61.0,0.0
2019-03-01,63.7,63.7,61.0,61.0,476.0
2019-02-28,63.7,63.7,63.7,63.7,0.0
2019-02-27,63.7,63.7,63.7045,63.7,2.0
