,open,high,low,close,volume
2019-10-25,374.38,374.885,369.54,370.73,1095254.0
2019-10-24,373.76,377.46,372.0,374.74,1126900.0
2019-10-23,373.78,374.99,368.73,373.09,1279700.0
2019-10-22,363.0,377.5,363.0,373.68,2567200.0
2019-10-21,374.01,375.89,372.73,374.05,1160000.0
2019-10-18,376.72,377.71,368.0,372.48,1935600.0
2019-10-17,383.55,384.21,376.29,377.06,1004600.0
2019-10-16,382.39,384.39,380.23,382.84,851300.0
2019-10-15,383.69,385.7,382.07,382.75,835300.0
2019-10-14,382.77,385.37,381.39,382.61,622300.0
2019-10-11,389.79,390.73,381.25,381.47,1327000.0
2019-10-10,383.99,388.51,383.2,386.88,690200.0
2019-10-09,384.83,386.33,382.5,384.61,712000.0
2019-10-08,381.06,385.8,379.29,382.12,1001300.0
2019-10-07,385.01,386.68,382.69,383.78,850100.0
2019-10-04,380.21,385.24,379.49,384.95,762200.0
2019-10-03,378.87,381.19,374.33,380.06,849800.0
2019-10-02,382.74,383.06,374.07,378.16,1759000.0
2019-10-01,391.43,392.48,383.89,384.19,1240000.0
2019-09-30,388.56,393.82,388.42,390.06,1293200.0
2019-09-27,395.94,395.95,386.43,387.87,751800.0
2019-09-26,391.25,394.64,388.93,392.92,875400.0
2019-09-25,390.58,390.9,387.71,390.43,1336400.0
2019-09-24,390.0,392.99,387.21,389.17,1162400.0
2019-09-23,388.07,390.06,386.11,387.67,1132200.0
2019-09-20,394.49,395.44,388.05,388.25,2106700.0
2019-09-19,397.14,398.5,393.03,393.43,1044400.0
2019-09-18,394.78,397.23,391.55,397.04,780300.0
2019-09-17,392.47,399.96,388.43,393.98,975800.0
2019-09-16,388.9,394.6,386.89,392.66,1689900.0
2019-09-13,387.77,387.77,383.6,384.86,898600.0
2019-09-12,384.49,388.51,383.27,386.63,855100.0
2019-09-11,381.2,385.8,380.06,381.55,1125300.0
2019-09-10,377.29,381.32,370.46,381.32,1297600.0
2019-09-09,387.95,388.29,380.04,380.21,1146900.0
2019-09-06,387.28,388.45,385.81,386.56,701100.0
