,open,high,low,close,volume
2019-10-25,562.34,566.54,553.665,565.74,372457.0
2019-10-24,569.5,569.5,561.28,563.34,329300.0
2019-10-23,569.69,572.61,558.93,566.62,370600.0
2019-10-22,582.68,582.68,569.83,569.93,271100.0
2019-10-21,576.41,578.32,572.03,577.35,270800.0
2019-10-18,574.82,577.17,571.32,576.41,247900.0
2019-10-17,570.93,576.48,569.45,571.84,198100.0
2019-10-16,568.16,568.9,560.89,567.89,313200.0
2019-10-15,570.6,574.17,566.0,571.65,207100.0
2019-10-14,566.98,571.22,565.05,567.5,181500.0
2019-10-11,576.19,576.19,565.87,566.61,280100.0
2019-10-10,573.53,574.92,568.14,572.2,230600.0
2019-10-09,570.91,579.29,570.07,575.0,274000.0
2019-10-08,576.17,577.77,569.34,569.5,280500.0
2019-10-07,577.87,580.95,575.55,577.31,224800.0
2019-10-04,577.63,582.43,575.93,581.65,295700.0
2019-10-03,563.16,575.76,562.77,575.75,417600.0
2019-10-02,568.12,571.51,555.18,561.52,531300.0
2019-10-01,574.84,578.22,567.95,569.59,313000.0
2019-09-30,578.72,582.23,574.29,576.8,301000.0
2019-09-27,581.01,583.49,573.33,576.62,290500.0
2019-09-26,577.34,584.5,577.13,583.02,270600.0
2019-09-25,574.56,580.33,562.0,579.25,381200.0
2019-09-24,582.21,582.95,567.11,572.04,519700.0
2019-09-23,575.03,609.97,569.83,581.71,715300.0
2019-09-20,568.57,571.7,564.69,566.45,1067300.0
2019-09-19,560.51,570.83,559.33,569.03,470100.0
2019-09-18,559.5,561.19,545.67,561.0,359100.0
2019-09-17,551.47,559.99,545.2,558.91,380400.0
2019-09-16,537.74,551.2,536.19,549.93,297300.0
2019-09-13,537.0,539.08,531.79,536.8,329600.0
2019-09-12,529.99,539.68,528.5,538.88,435400.0
2019-09-11,530.19,533.36,526.0,528.44,529900.0
2019-09-10,535.51,535.51,525.38,531.44,496300.0
2019-09-09,554.1,554.31,536.76,538.21,397000.0
2019-09-06,552.44,560.67,551.71,554.09,366900.0
2019-09-05,558.76,560.0,547.69,551.0,486500.0
2019-09-04,564.9,567.89,555.03,558.49,445900.0
2019-09-03,555.38,566.39,554.21,565.91,296600.0
2019-08-30,558.0,559.55,553.22,556.28,288200.0
2019-08-29,556.71,558.8,554.96,557.72,339500.0
2019-08-28,558.36,559.64,551.38,553.53,304000.0
2019-08-27,560.49,562.47,555.45,557.52,590000.0
2019-08-26,550.03,558.79,550.0,558.68,203100.0
2019-08-23,557.41,559.32,547.14,549.42,319200.0
2019-08-22,551.64,558.43,547.62,554.42,270500.0
2019-08-21,548.82,552.1,545.36,552.1,198900.0
2019-08-20,551.24,554.48,546.73,547.0,257600.0
2019-08-19,556.22,557.96,550.38,555.73,279600.0
2019-08-16,547.25,553.85,545.01,551.81,575000.0
2019-08-15,541.3,550.16,539.5103,546.34,359100.0
2019-08-14,544.45,548.285,537.51,539.88,472900.0
2019-08-13,553.75,554.35,545.0,548.38,452200.0
2019-08-12,550.54,557.5022,549.61,553.3,403900.0
2019-08-09,550.0037,553.52,546.83,552.42,499100.0
2019-08-08,531.3,550.0,527.525,549.24,550800.0
2019-08-07,518.05,534.83,511.99,533.09,436600.0
2019-08-06,513.48,523.52,513.0,519.86,366400.0
2019-08-05,518.57,523.67,506.05,512.68,429700.0
2019-08-02,526.11,533.08,520.76,524.09,580300.0
2019-08-01,529.48,530.72,504.91,522.75,720100.0
2019-07-31,497.66,511.29,493.92,502.1,741300.0
2019-07-30,485.2,499.5,484.57,498.82,464900.0
2019-07-29,494.98,496.9594,484.24,486.58,393800.0
2019-07-26,492.17,495.0,484.46,488.81,523600.0
2019-07-25,507.0,507.51,490.05,490.48,533200.0
2019-07-24,507.38,510.98,504.7115,508.32,279500.0
2019-07-23,508.43,509.9,501.88,507.33,335400.0
2019-07-22,505.41,508.77,504.08,506.4,243800.0
2019-07-19,514.47,515.8,506.56,506.61,305100.0
2019-07-18,509.53,513.46,508.19,512.17,293700.0
2019-07-17,518.79,519.04,509.01,512.18,211900.0
2019-07-16,515.32,516.64,511.97,514.22,319400.0
2019-07-15,521.31,523.6,515.59,516.99,181400.0
2019-07-12,525.0,526.93,516.51,518.01,301700.0
2019-07-11,528.97,528.98,520.56,523.88,292400.0
2019-07-10,522.14,527.41,518.1,527.16,315600.0
2019-07-09,517.32,521.7,516.83,521.5,235300.0
2019-07-08,518.4,520.0,515.84,519.16,196400.0
2019-07-05,517.03,520.35,510.53,518.18,168000.0
2019-07-03,515.37,520.235,515.37,518.95,180200.0
2019-07-02,506.37,515.27,505.076,514.94,349000.0
2019-07-01,509.04,510.0,498.025,504.94,366800.0
2019-06-28,498.75,504.685,496.355,504.29,551000.0
2019-06-27,491.33,498.93,491.33,498.19,262500.0
2019-06-26,500.03,501.09,485.58,490.28,489800.0
2019-06-25,508.8494,512.99,499.43,500.05,246000.0
2019-06-24,510.0,512.9,506.07,510.04,285500.0
2019-06-21,509.04,509.37,499.51,508.09,761600.0
2019-06-20,515.04,515.88,506.71,508.37,433000.0
2019-06-19,502.69,513.8,501.89,511.17,351900.0
2019-06-18,514.45,516.95,502.445,503.23,461300.0
2019-06-17,511.2487,515.08,509.29,511.48,354200.0
2019-06-14,507.3,512.9545,505.51,509.92,318600.0
2019-06-13,505.44,508.03,503.238,507.3,399900.0
2019-06-12,505.76,508.99,502.9389,503.67,221500.0
2019-06-11,507.29,508.76,499.26,504.24,303300.0
2019-06-10,499.14,507.31,497.6,506.02,329400.0
2019-06-07,496.54,499.96,495.1,499.6,262100.0
2019-06-06,496.82,497.92,491.29,494.66,334000.0
