,open,high,low,close,volume
2019-10-25,117.77,118.85,117.69,118.67,2956506.0
2019-10-24,118.47,118.81,117.31,117.58,3873900.0
2019-10-23,117.4,118.02,116.78,117.98,4148500.0
2019-10-22,116.63,118.56,116.49,117.8,4095000.0
2019-10-21,115.55,116.75,115.55,116.61,3926300.0
2019-10-18,115.14,115.58,114.74,114.74,5679900.0
2019-10-17,115.61,116.06,114.92,115.35,3722400.0
2019-10-16,116.23,116.66,115.08,115.11,3608900.0
2019-10-15,115.85,117.62,115.8,116.31,3742700.0
2019-10-14,115.58,116.39,115.45,116.18,2571300.0
2019-10-11,115.69,117.03,115.36,116.15,5134200.0
2019-10-10,113.53,114.79,113.3,114.59,3555500.0
2019-10-09,112.59,114.51,112.3,113.14,4601700.0
2019-10-08,112.11,112.75,111.61,111.71,5323900.0
2019-10-07,113.96,114.75,113.23,113.26,4694000.0
2019-10-04,113.6,114.0,112.55,113.85,4757300.0
2019-10-03,112.06,113.19,110.42,113.15,5315300.0
2019-10-02,115.06,115.11,111.62,112.29,9702400.0
2019-10-01,119.27,119.46,115.88,116.01,7116600.0
2019-09-30,118.54,119.42,118.41,118.6,6108300.0
2019-09-27,119.51,120.25,118.45,118.6,6850700.0
2019-09-26,123.26,123.5,120.05,120.16,7834400.0
2019-09-25,123.48,124.15,122.91,123.51,3762500.0
2019-09-24,124.67,124.72,123.22,123.74,6232100.0
2019-09-23,123.55,125.0,123.55,124.9,4705500.0
2019-09-20,124.0,124.82,123.67,124.32,10420700.0
2019-09-19,124.77,124.97,123.42,123.66,4034500.0
2019-09-18,123.55,124.21,123.02,124.18,4801500.0
2019-09-17,124.12,124.62,122.56,123.89,7246500.0
2019-09-16,124.86,125.27,122.97,124.12,10683900.0
2019-09-13,122.25,122.32,121.24,121.5,4885400.0
2019-09-12,120.04,122.18,119.56,121.42,5818300.0
2019-09-11,122.21,122.98,120.37,121.28,5509500.0
2019-09-10,120.23,123.29,119.91,121.85,8728800.0
2019-09-09,118.74,119.63,118.58,119.39,5048000.0
2019-09-06,117.5,118.44,117.39,118.26,4578200.0
2019-09-05,118.01,119.07,117.26,117.64,5394300.0
2019-09-04,117.48,118.54,117.17,117.25,4595600.0
2019-09-03,115.77,116.33,114.55,116.27,5672500.0
2019-08-30,117.98,118.98,117.23,117.72,4881100.0
2019-08-29,117.19,117.84,116.58,117.52,4467300.0
2019-08-28,116.41,117.2,115.88,116.83,4153500.0
