,open,high,low,close,volume
2019-10-25,164.01,166.36,163.78,165.69,518894.0
2019-10-24,167.54,167.54,160.02,164.26,1594500.0
2019-10-23,167.33,169.46,167.2,169.05,451300.0
2019-10-22,168.49,170.58,167.41,167.62,593600.0
2019-10-21,167.92,169.26,166.57,168.04,654600.0
2019-10-18,170.26,170.46,165.8,167.46,691900.0
2019-10-17,170.42,172.02,170.08,170.5,429800.0
2019-10-16,168.15,170.3,167.78,169.98,537100.0
2019-10-15,166.72,168.41,165.43,167.78,339900.0
2019-10-14,165.63,167.21,165.3,165.45,373900.0
2019-10-11,165.9,167.92,165.64,165.76,508400.0
2019-10-10,164.94,166.29,164.12,164.5,512100.0
2019-10-09,164.35,166.51,163.51,165.36,288100.0
2019-10-08,165.91,165.91,163.28,163.48,406200.0
2019-10-07,166.41,169.09,165.49,166.98,515000.0
2019-10-04,164.66,167.23,164.66,167.15,496400.0
2019-10-03,164.33,164.99,161.01,164.43,1087100.0
2019-10-02,166.62,166.65,164.16,164.44,567000.0
2019-10-01,168.01,171.14,167.63,167.96,567200.0
2019-09-30,165.63,168.79,165.51,168.0,436700.0
2019-09-27,167.84,168.12,164.18,165.43,497300.0
2019-09-26,168.47,168.77,165.36,167.0,519900.0
2019-09-25,169.87,169.87,167.65,167.95,633400.0
2019-09-24,172.77,173.67,169.47,170.43,562100.0
2019-09-23,171.85,172.32,170.31,172.08,1073000.0
2019-09-20,171.17,173.8,170.91,172.69,722000.0
2019-09-19,172.0,172.75,171.05,171.11,471800.0
2019-09-18,171.33,171.8,170.28,171.25,401400.0
2019-09-17,172.66,172.68,170.92,171.38,356200.0
2019-09-16,171.39,173.29,170.94,172.75,337900.0
2019-09-13,172.92,174.42,171.73,172.32,513100.0
2019-09-12,175.09,175.9,172.68,172.8,418800.0
2019-09-11,174.0,174.24,170.99,174.16,476300.0
2019-09-10,172.26,174.75,171.01,174.12,482200.0
2019-09-09,173.79,173.94,169.17,172.48,605800.0
2019-09-06,170.51,174.74,169.69,172.93,729700.0
2019-09-05,170.02,170.6,168.89,170.49,671500.0
2019-09-04,168.59,169.33,166.31,168.19,304700.0
2019-09-03,166.12,168.76,165.78,167.59,524400.0
2019-08-30,168.58,170.24,167.27,167.56,682000.0
2019-08-29,165.83,168.24,165.35,167.85,364100.0
2019-08-28,163.35,164.6,162.32,164.22,446100.0
2019-08-27,165.91,166.53,163.05,163.93,622600.0
2019-08-26,166.77,167.34,164.52,165.22,470300.0
2019-08-23,168.27,169.58,165.04,165.86,633200.0
2019-08-22,169.03,169.12,167.16,167.94,414600.0
2019-08-21,168.04,169.43,167.67,168.58,489000.0
2019-08-20,169.03,169.97,166.78,167.01,509600.0
2019-08-19,167.52,169.09,166.98,168.62,450900.0
2019-08-16,164.42,166.66,162.69,166.15,617200.0
2019-08-15,163.83,164.35,162.69,163.63,427000.0
2019-08-14,164.81,165.24,163.19,163.63,566200.0
2019-08-13,164.75,166.73,164.14,166.2,455300.0
2019-08-12,164.29,165.34,163.13,163.92,425100.0
2019-08-09,164.44,165.45,163.18,164.94,477600.0
2019-08-08,162.6,164.73,162.3009,164.44,573200.0
2019-08-07,160.32,162.11,157.98,161.93,573700.0
2019-08-06,160.5,161.77,157.53,161.65,762000.0
2019-08-05,162.91,164.16,156.85,159.77,1058600.0
2019-08-02,165.77,166.89,163.8154,164.77,587000.0
2019-08-01,168.01,168.94,165.14,166.0,612000.0
2019-07-31,170.77,170.77,164.48,167.52,1465800.0
2019-07-30,166.03,170.67,164.24,170.62,775400.0
2019-07-29,165.9,168.26,164.97,167.3,1105200.0
