,open,high,low,close,volume
2019-10-25,460.87,469.45,442.25,462.19,1900071.0
2019-10-24,435.11,439.05,432.64,435.07,1033100.0
2019-10-23,436.25,439.39,434.12,435.56,911700.0
2019-10-22,437.04,441.01,435.87,437.23,1081300.0
2019-10-21,442.22,444.99,437.26,438.16,746100.0
2019-10-18,443.79,444.41,439.6,440.05,821700.0
2019-10-17,439.55,445.0,437.32,441.93,723500.0
2019-10-16,432.85,440.27,430.26,438.1,906000.0
2019-10-15,423.6,435.45,422.79,432.92,1282900.0
2019-10-14,423.89,424.69,421.92,422.96,690000.0
2019-10-11,430.22,430.72,422.88,423.16,1235400.0
2019-10-10,428.97,430.3,424.88,426.93,693800.0
2019-10-09,431.23,431.51,427.48,429.28,624400.0
2019-10-08,426.91,430.94,423.05,428.07,1226000.0
2019-10-07,425.53,432.16,425.29,430.04,969800.0
2019-10-04,422.17,429.4,420.9,427.72,1074500.0
2019-10-03,409.01,416.96,406.7,416.67,798300.0
2019-10-02,409.91,412.92,405.8,410.75,1148800.0
2019-10-01,412.53,415.48,405.02,405.6,1062300.0
2019-09-30,408.21,413.77,406.89,412.12,838400.0
2019-09-27,411.83,411.83,401.84,406.21,1255000.0
2019-09-26,418.45,418.75,406.16,411.0,2118300.0
2019-09-25,417.2,418.57,414.51,416.66,1836900.0
2019-09-24,422.54,424.59,416.69,417.53,1291000.0
2019-09-23,421.69,423.51,420.14,421.51,1036800.0
2019-09-20,426.01,427.29,419.65,420.35,2848400.0
2019-09-19,426.78,429.88,425.1,427.42,831500.0
2019-09-18,424.24,425.71,419.07,425.42,808600.0
2019-09-17,423.31,425.36,419.05,425.15,736600.0
2019-09-16,425.19,427.0,419.15,423.25,908900.0
2019-09-13,425.06,426.65,421.91,425.52,890800.0
2019-09-12,427.67,431.43,423.55,425.0,1233700.0
2019-09-11,420.18,425.79,420.18,425.0,751400.0
2019-09-10,418.97,423.92,415.97,421.34,1367700.0
2019-09-09,425.99,427.11,417.66,419.78,1192900.0
2019-09-06,423.12,427.9,421.02,425.72,973800.0
2019-09-05,424.75,428.95,420.31,422.05,1113400.0
2019-09-04,415.38,420.26,415.22,419.47,1492900.0
2019-09-03,408.08,413.16,407.26,411.81,977800.0
2019-08-30,409.12,412.5,407.43,409.59,1140400.0
2019-08-29,404.62,410.09,403.07,407.24,892000.0
2019-08-28,398.65,403.5,395.67,400.5,806400.0
2019-08-27,397.43,401.4,395.04,398.49,1014000.0
2019-08-26,387.85,399.07,387.13,396.78,1460500.0
2019-08-23,388.84,395.37,384.43,385.51,1333600.0
2019-08-22,392.68,393.13,387.43,391.04,891900.0
2019-08-21,393.3,393.94,389.52,392.13,973300.0
2019-08-20,386.95,394.2,386.77,391.55,1098200.0
2019-08-19,388.18,391.56,387.05,388.42,1219900.0
2019-08-16,385.33,386.39,381.94,384.51,1188100.0
2019-08-15,376.19,381.9,375.44,380.94,1320200.0
2019-08-14,375.86,377.88,372.5651,375.18,1442200.0
2019-08-13,376.23,384.08,374.1089,379.37,1745400.0
2019-08-12,378.8,379.79,372.9,376.28,1412600.0
2019-08-09,380.51,382.07,376.6251,379.57,1207300.0
2019-08-08,378.19,382.37,370.78,380.03,2052200.0
2019-08-07,376.4,377.39,371.3,375.03,2552400.0
2019-08-06,379.77,384.79,377.48,381.99,1168600.0
2019-08-05,380.07,382.8,376.15,379.74,1796300.0
2019-08-02,383.12,385.75,379.75,384.66,1382400.0
2019-08-01,385.94,392.85,383.98,384.38,1389600.0
2019-07-31,390.98,390.99,382.0,385.38,2197100.0
2019-07-30,391.67,398.62,391.22,394.56,916400.0
2019-07-29,398.78,402.89,390.799,393.65,738000.0
2019-07-26,380.0,399.13,375.06,398.79,1608400.0
2019-07-25,407.22,410.3185,404.58,405.5,1233500.0
2019-07-24,407.45,410.98,404.82,409.67,634600.0
2019-07-23,408.97,409.6,403.93,407.53,764000.0
2019-07-22,411.0,411.72,405.76,407.86,666400.0
