,open,high,low,close,volume
2019-10-25,266.26,272.18,265.56,270.19,2500348.0
2019-10-24,263.56,269.33,263.56,268.75,3791900.0
2019-10-23,262.68,264.19,258.51,260.85,5367000.0
2019-10-22,274.9,275.35,261.01,261.26,5619500.0
2019-10-21,271.93,274.36,269.5,274.3,2921200.0
2019-10-18,275.24,276.68,269.9,270.63,4052300.0
2019-10-17,279.35,280.44,275.93,276.51,2396600.0
2019-10-16,277.1,279.03,274.8,278.27,2689400.0
2019-10-15,277.21,279.96,275.96,278.56,3006600.0
2019-10-14,277.56,278.56,275.56,276.38,2042500.0
2019-10-11,276.2,280.0,275.12,275.91,3493000.0
2019-10-10,271.56,274.71,271.26,273.83,2194700.0
2019-10-09,269.96,273.14,269.5,272.24,2169600.0
2019-10-08,269.82,271.08,266.59,267.07,2818900.0
2019-10-07,271.31,273.5,270.41,272.19,2861900.0
2019-10-04,269.51,274.48,269.16,274.06,2671400.0
2019-10-03,264.25,268.54,260.41,268.29,3948100.0
2019-10-02,268.16,268.94,262.52,264.48,4308900.0
2019-10-01,271.49,273.65,270.04,270.94,3066400.0
2019-09-30,270.99,272.07,269.32,271.57,3128700.0
2019-09-27,275.39,275.63,267.69,269.13,3175700.0
2019-09-26,273.23,275.44,272.63,273.89,2924600.0
2019-09-25,270.25,272.99,266.61,272.75,4083600.0
2019-09-24,275.63,277.44,269.06,271.12,4120300.0
2019-09-23,270.3,273.74,270.0,273.15,3092000.0
2019-09-20,277.79,278.59,270.91,271.17,5540800.0
2019-09-19,275.96,278.15,274.85,275.91,2623800.0
2019-09-18,276.77,276.85,270.44,275.1,2975900.0
2019-09-17,274.55,278.63,273.95,276.25,2929500.0
2019-09-16,273.47,275.76,272.71,274.08,2755100.0
2019-09-13,277.99,278.15,273.04,276.32,4631100.0
2019-09-12,273.39,278.77,273.19,276.4,5497900.0
2019-09-11,274.92,276.0,269.2,269.95,6342300.0
2019-09-10,281.34,281.5,270.34,272.33,8683800.0
2019-09-09,293.49,293.69,280.1,283.36,4795900.0
2019-09-06,291.94,293.07,290.05,291.38,2783300.0
2019-09-05,290.29,293.46,289.6,292.08,3808300.0
2019-09-04,282.77,286.21,282.15,286.1,2631000.0
2019-09-03,279.99,282.84,278.5,280.11,2350800.0
2019-08-30,282.59,282.96,278.73,281.37,2600300.0
2019-08-29,281.0,281.98,278.88,281.38,2297200.0
2019-08-28,275.23,278.65,273.37,278.24,2306900.0
2019-08-27,276.74,279.09,274.91,276.64,2169400.0
2019-08-26,274.88,276.43,272.98,276.43,2184400.0
2019-08-23,280.0,282.09,270.21,271.89,4415000.0
2019-08-22,282.11,282.89,276.76,280.77,2975800.0
2019-08-21,279.64,282.1,279.29,282.01,2492200.0
2019-08-20,278.4,279.56,275.85,277.04,2583600.0
2019-08-19,277.0,278.57,275.21,278.07,2502300.0
2019-08-16,274.98,275.96,268.09,274.36,2718100.0
2019-08-15,269.28,273.15,268.0744,271.89,3364300.0
2019-08-14,269.82,272.47,265.8458,267.15,3750300.0
2019-08-13,269.83,275.365,268.0,274.53,3899800.0
2019-08-12,272.85,274.98,268.89,270.0,3322600.0
2019-08-09,275.51,276.9,273.08,274.95,3410500.0
2019-08-08,272.0,278.08,271.595,278.04,4135500.0
2019-08-07,263.4,270.0,260.25,269.31,4476000.0
2019-08-06,261.8,265.15,260.18,264.68,4918500.0
2019-08-05,260.0,262.65,253.9,256.84,6861300.0
2019-08-02,272.0,272.5,265.68,269.45,4438000.0
2019-08-01,273.93,279.31,271.64,274.16,4988100.0
2019-07-31,278.6627,278.98,265.69,272.27,5513100.0
2019-07-30,279.34,282.37,275.45,278.16,3957900.0
2019-07-29,283.12,283.324,280.43,281.44,3677700.0
2019-07-26,280.6,282.29,280.08,282.07,2942100.0
2019-07-25,280.0,280.9,277.5671,279.35,2312200.0
2019-07-24,278.17,280.3,276.38,280.25,2805200.0
2019-07-23,280.0,280.42,276.9,278.97,2275400.0
2019-07-22,276.91,279.36,276.07,278.61,2092400.0
2019-07-19,279.43,279.48,275.42,275.6,3048200.0
2019-07-18,275.0,277.25,274.74,276.78,3241000.0
2019-07-17,277.39,278.47,275.27,275.28,2318900.0
2019-07-16,279.0,280.63,275.31,276.62,2976000.0
2019-07-15,280.46,280.59,278.55,279.37,3349500.0
2019-07-12,279.24,279.74,276.26,279.54,2299700.0
2019-07-11,277.6,278.65,276.08,278.32,2583900.0
2019-07-10,274.17,277.1,274.15,275.38,2323000.0
2019-07-09,269.82,273.65,269.5,273.34,2477400.0
2019-07-08,270.1,272.07,269.46,271.23,2291700.0
2019-07-05,271.5,272.77,269.09,272.14,2561000.0
2019-07-03,271.0,273.0579,270.78,273.08,1896800.0
2019-07-02,266.8933,270.6,266.435,270.57,2649100.0
2019-07-01,269.99,269.99,264.872,266.77,2646800.0
2019-06-28,263.09,264.84,261.328,264.53,4400300.0
2019-06-27,262.44,263.584,260.4,261.1,2186900.0
2019-06-26,260.88,262.65,259.993,261.3,3869400.0
2019-06-25,266.04,266.31,259.12,259.73,3138000.0
2019-06-24,265.85,267.1,265.13,265.3,2538100.0
2019-06-21,265.82,268.15,264.42,264.47,4285800.0
2019-06-20,263.49,267.7,262.5,266.79,4667300.0
2019-06-19,258.83,260.62,258.3,259.87,4326500.0
2019-06-18,261.7,262.2617,255.067,258.81,3921300.0
2019-06-17,261.0,261.71,258.05,259.2,3332200.0
2019-06-14,259.99,261.9722,259.42,260.1,3158200.0
2019-06-13,265.0,265.23,260.25,261.2,4331000.0
2019-06-12,262.45,264.21,261.36,263.85,2295300.0
2019-06-11,267.47,267.89,259.18,263.66,3119600.0
2019-06-10,269.0,269.85,265.28,266.1,4469000.0
2019-06-07,260.0,266.87,259.62,265.8,3691800.0
2019-06-06,256.36,258.7,254.86,257.83,3443500.0
