,open,high,low,close,volume
2019-10-25,40.48,41.24,40.26,40.85,5907323.0
2019-10-24,40.22,40.72,39.89,40.54,10727900.0
2019-10-23,40.75,41.24,39.77,40.09,21256800.0
2019-10-22,38.9,38.94,38.09,38.18,9707000.0
2019-10-21,38.67,38.95,38.5,38.65,8590100.0
2019-10-18,38.25,38.66,38.01,38.47,10584800.0
2019-10-17,38.43,38.56,38.13,38.17,6319400.0
2019-10-16,38.22,38.4,37.87,38.18,14814100.0
2019-10-15,38.38,38.66,37.76,38.46,10241400.0
2019-10-14,38.28,38.52,37.95,37.97,5479900.0
2019-10-11,38.32,38.95,38.11,38.23,16058100.0
2019-10-10,38.29,38.57,37.65,37.98,17235800.0
2019-10-09,38.3,38.88,38.23,38.61,8593300.0
2019-10-08,40.05,40.23,37.78,37.87,19410700.0
2019-10-07,40.35,40.51,40.1,40.35,3601500.0
2019-10-04,40.04,40.72,39.89,40.53,6229600.0
2019-10-03,39.09,39.83,38.9,39.75,5459000.0
2019-10-02,39.77,39.91,38.9,39.15,8009800.0
2019-10-01,40.93,41.38,40.1,40.24,6121400.0
2019-09-30,40.41,41.06,40.22,40.69,8016300.0
2019-09-27,42.45,42.46,39.75,40.31,10846000.0
2019-09-26,42.44,42.76,42.02,42.35,5157500.0
2019-09-25,42.34,42.55,41.94,42.2,4364300.0
2019-09-24,43.45,43.65,42.05,42.33,6496200.0
2019-09-23,43.1,43.38,42.89,43.15,4025100.0
2019-09-20,43.29,43.4,42.85,43.29,7963700.0
2019-09-19,42.97,43.15,42.79,43.06,6465900.0
2019-09-18,42.42,42.94,42.28,42.9,3971300.0
2019-09-17,42.03,42.64,41.96,42.32,3935900.0
2019-09-16,41.73,42.02,41.45,41.94,3097000.0
2019-09-13,42.11,42.45,41.56,41.81,4535400.0
2019-09-12,42.67,43.05,42.2,42.24,5676800.0
2019-09-11,41.56,42.38,41.23,42.3,6370400.0
2019-09-10,41.28,41.36,39.83,41.3,10912200.0
2019-09-09,43.49,43.55,41.63,41.74,6171300.0
2019-09-06,42.95,43.84,42.63,43.45,6349400.0
2019-09-05,42.54,42.68,42.14,42.61,4867000.0
2019-09-04,42.04,42.09,41.37,42.05,3490900.0
2019-09-03,42.5,42.65,41.31,41.67,4695500.0
2019-08-30,43.03,43.23,42.5,42.73,3234400.0
2019-08-29,42.83,43.41,42.49,42.84,5804900.0
2019-08-28,42.0,42.72,41.96,42.49,4208100.0
2019-08-27,42.03,42.34,41.94,42.22,5996700.0
2019-08-26,41.53,41.87,41.28,41.85,3434800.0
2019-08-23,42.69,42.72,41.0,41.17,5308100.0
2019-08-22,42.69,42.94,42.32,42.69,3333700.0
2019-08-21,42.78,42.86,42.32,42.55,3742700.0
2019-08-20,42.74,43.2,42.47,42.5,4168900.0
2019-08-19,43.07,43.07,42.45,42.74,2755400.0
2019-08-16,42.18,42.42,41.35,42.15,3274900.0
2019-08-15,41.4807,42.09,41.35,41.87,4467300.0
2019-08-14,42.43,42.52,41.41,41.43,5677000.0
2019-08-13,42.28,43.11,42.17,42.86,3449000.0
2019-08-12,43.1,43.15,42.26,42.33,3874200.0
2019-08-09,42.71,43.46,42.6484,43.2,4827200.0
2019-08-08,42.25,42.86,42.24,42.76,5057700.0
2019-08-07,42.0,42.41,41.1,42.18,5671900.0
2019-08-06,41.63,42.33,41.4,42.33,4301500.0
