,open,high,low,close,volume
2019-10-25,76.61,77.45,76.37,76.82,927529.0
2019-10-24,76.77,76.87,74.93,76.49,1658100.0
2019-10-23,76.52,77.01,76.29,76.72,1396300.0
2019-10-22,75.38,76.77,75.15,76.47,1998100.0
2019-10-21,75.55,75.8,75.17,75.38,1265200.0
2019-10-18,75.57,75.78,74.91,75.38,1858800.0
2019-10-17,76.08,76.32,75.16,76.03,1238400.0
2019-10-16,75.43,75.95,74.3,75.52,2222800.0
2019-10-15,74.69,76.12,74.08,75.7,3070700.0
2019-10-14,74.77,75.93,74.68,75.16,3099400.0
2019-10-11,73.52,75.31,73.27,74.65,2213400.0
2019-10-10,74.7,75.93,72.54,73.17,3761000.0
2019-10-09,75.21,75.86,74.75,74.8,1949900.0
2019-10-08,76.47,76.5,74.89,74.97,1897000.0
2019-10-07,77.09,78.0,76.94,77.0,1467100.0
2019-10-04,76.74,77.68,76.65,77.02,1392400.0
2019-10-03,77.07,77.19,75.67,75.98,2139500.0
2019-10-02,77.43,77.62,76.28,77.17,1884500.0
2019-10-01,78.75,79.55,78.07,78.13,1291000.0
2019-09-30,77.89,79.11,77.89,78.3,1311900.0
2019-09-27,77.12,77.82,76.98,77.78,1285200.0
2019-09-26,78.44,78.89,76.69,76.88,1585500.0
2019-09-25,78.68,79.21,78.23,78.52,1359600.0
2019-09-24,78.1,79.22,77.75,78.7,2063200.0
2019-09-23,77.78,78.08,77.53,77.73,1543400.0
2019-09-20,78.62,78.65,77.47,77.87,2431700.0
2019-09-19,79.02,79.02,78.19,78.5,1200000.0
2019-09-18,79.17,79.56,78.56,79.25,1691000.0
2019-09-17,78.86,79.33,77.98,79.19,1587000.0
2019-09-16,79.58,79.76,78.9,78.97,1308500.0
2019-09-13,80.97,81.93,79.16,80.13,3525300.0
2019-09-12,82.01,82.05,80.22,80.81,1584200.0
2019-09-11,82.27,82.63,80.73,81.99,2007200.0
2019-09-10,78.53,82.06,78.14,82.06,2893100.0
2019-09-09,77.98,78.6,77.54,78.47,1125000.0
2019-09-06,78.22,78.81,77.51,77.54,1539000.0
2019-09-05,77.16,78.35,77.11,77.94,1300600.0
2019-09-04,76.06,76.81,75.98,76.63,1247200.0
2019-09-03,75.47,75.99,74.98,75.3,1524100.0
2019-08-30,76.08,76.33,75.77,76.06,1915300.0
2019-08-29,76.26,76.39,75.48,75.56,1413800.0
2019-08-28,75.12,75.75,74.63,75.6,988800.0
2019-08-27,76.68,76.71,75.04,75.4,1505600.0
2019-08-26,76.03,76.45,75.78,76.1,1176100.0
2019-08-23,77.1,77.52,75.09,75.37,1371900.0
2019-08-22,77.55,78.01,77.03,77.36,983100.0
2019-08-21,77.97,78.0,77.13,77.29,1067900.0
2019-08-20,77.81,78.07,76.74,77.45,1361300.0
2019-08-19,78.2,78.72,77.69,78.06,1859800.0
2019-08-16,76.18,77.46,75.51,77.1,1497000.0
2019-08-15,76.16,76.53,75.51,75.7,1288900.0
2019-08-14,77.53,77.81,75.82,75.98,1400200.0
2019-08-13,77.62,79.44,77.4,78.61,1118200.0
2019-08-12,78.24,78.71,77.46,77.88,1301600.0
2019-08-09,78.87,79.26,78.21,78.55,1229000.0
2019-08-08,77.57,79.05,77.39,78.81,1889200.0
2019-08-07,76.39,76.86,75.44,76.74,1760300.0
2019-08-06,77.09,77.62,76.33,77.08,1628300.0
2019-08-05,77.64,77.98,76.13,76.79,1490900.0
2019-08-02,78.77,78.95,78.06,78.57,1482200.0
2019-08-01,80.2965,80.89,78.88,79.25,1598800.0
2019-07-31,80.99,81.57,79.67,80.22,1356900.0
2019-07-30,81.1175,81.53,80.68,81.08,825000.0
2019-07-29,81.83,81.83,80.98,81.61,906000.0
2019-07-26,81.7,82.11,81.48,81.69,1047900.0
2019-07-25,80.85,81.68,80.61,81.52,1033600.0
2019-07-24,80.33,80.91,79.68,80.7,1722300.0
2019-07-23,80.03,80.21,79.03,80.05,1927000.0
2019-07-22,79.9,80.92,79.87,80.3,2609100.0
2019-07-19,81.05,81.07,79.75,79.76,3460100.0
2019-07-18,80.98,81.63,79.92,81.35,3338800.0
2019-07-17,83.88,83.96,80.02,81.57,3315800.0
2019-07-16,84.07,85.05,84.0,84.02,3806500.0
2019-07-15,83.94,84.53,83.39,83.99,4160400.0
2019-07-12,83.87,84.75,83.65,84.69,1183300.0
2019-07-11,84.04,84.04,82.95,83.65,2244300.0
2019-07-10,84.25,84.65,83.57,83.77,1350400.0
2019-07-09,84.2,84.48,83.76,84.25,2800800.0
2019-07-08,84.6451,84.83,83.96,84.24,1416600.0
2019-07-05,84.37,84.77,83.45,84.75,1127500.0
2019-07-03,83.89,84.89,83.65,84.77,1057900.0
2019-07-02,83.35,83.77,82.87,83.74,1482400.0
2019-07-01,82.74,83.58,82.45,83.55,1614300.0
2019-06-28,81.19,82.1388,80.993,81.95,2118900.0
2019-06-27,80.98,81.18,80.575,81.0,1391000.0
2019-06-26,80.42,81.34,80.32,80.99,2045600.0
2019-06-25,81.17,81.41,80.26,80.29,2874200.0
2019-06-24,81.37,81.62,80.41,81.44,2163600.0
2019-06-21,80.62,81.48,80.045,81.39,3188200.0
2019-06-20,81.4,81.56,79.17,80.73,2056100.0
2019-06-19,80.57,81.08,80.5,80.92,1909100.0
2019-06-18,80.26,80.93,80.05,80.14,2267100.0
2019-06-17,79.34,80.24,79.08,79.8,1217300.0
