,open,high,low,close,volume
2019-10-25,1122.97,1135.08,1120.45,1129.47,225360.0
2019-10-24,1110.0,1126.64,1109.6899,1123.78,246700.0
2019-10-23,1100.0,1102.85,1090.78,1093.48,186100.0
2019-10-22,1110.79,1117.1899,1099.01,1100.11,140700.0
2019-10-21,1112.58,1112.58,1098.62,1109.92,148800.0
2019-10-18,1107.5,1115.0,1102.55,1110.0,156800.0
2019-10-17,1107.6899,1116.99,1100.88,1105.11,197600.0
2019-10-16,1104.02,1110.59,1096.92,1106.98,163000.0
2019-10-15,1087.52,1111.23,1087.52,1104.4399,206600.0
2019-10-14,1083.64,1089.0,1074.92,1086.64,168700.0
2019-10-11,1084.6899,1095.78,1082.5,1085.97,152500.0
2019-10-10,1060.9,1079.23,1060.9,1077.23,180600.0
2019-10-09,1060.14,1063.24,1049.53,1058.55,135200.0
2019-10-08,1053.38,1060.1,1049.28,1049.5,146000.0
2019-10-07,1057.4,1069.0,1054.53,1060.8101,185300.0
2019-10-04,1052.6,1060.86,1044.15,1060.33,189500.0
2019-10-03,1054.0601,1055.75,1039.74,1052.33,207900.0
2019-10-02,1078.89,1078.89,1049.15,1052.86,238200.0
2019-10-01,1081.8,1090.25,1075.49,1083.67,236200.0
2019-09-30,1084.39,1093.42,1078.5,1084.62,231700.0
2019-09-27,1089.17,1093.4399,1078.13,1085.65,258900.0
2019-09-26,1091.45,1094.76,1070.3101,1085.6899,248300.0
2019-09-25,1096.8199,1100.12,1082.04,1093.0601,317200.0
2019-09-24,1160.0,1164.85,1082.11,1096.63,669000.0
2019-09-23,1160.9399,1167.3,1147.26,1147.26,303600.0
2019-09-20,1172.5,1174.95,1157.01,1159.37,280900.0
2019-09-19,1168.0601,1180.49,1155.78,1157.79,259500.0
2019-09-18,1157.6,1168.6801,1156.0,1162.53,206600.0
2019-09-17,1136.17,1162.09,1130.67,1156.0,206900.0
2019-09-16,1147.0699,1150.62,1126.92,1130.66,181000.0
2019-09-13,1131.75,1150.8,1129.45,1149.26,207000.0
2019-09-12,1157.7,1164.42,1126.17,1129.0699,372000.0
2019-09-11,1155.22,1163.89,1135.15,1156.92,294400.0
2019-09-10,1126.6801,1154.89,1116.91,1152.55,284400.0
2019-09-09,1148.92,1156.92,1122.84,1127.1899,407800.0
2019-09-06,1141.65,1154.33,1137.7,1143.34,206200.0
2019-09-05,1128.01,1144.52,1128.01,1134.54,203700.0
2019-09-04,1112.23,1125.09,1100.83,1122.72,200900.0
2019-09-03,1097.97,1107.33,1087.5699,1102.83,175700.0
2019-08-30,1123.84,1124.49,1095.5699,1101.6899,297800.0
2019-08-29,1102.8101,1122.29,1101.67,1113.71,236200.0
2019-08-28,1064.0,1105.46,1060.5,1097.6899,338600.0
2019-08-27,1071.48,1078.84,1061.47,1064.79,312400.0
2019-08-26,1072.1,1073.3101,1059.92,1066.96,164500.0
2019-08-23,1079.4399,1088.25,1062.1899,1065.28,300900.0
2019-08-22,1086.04,1092.92,1074.3199,1081.55,205300.0
2019-08-21,1099.28,1102.3101,1084.76,1087.97,249900.0
2019-08-20,1099.35,1109.65,1090.78,1091.11,213100.0
2019-08-19,1099.71,1105.9399,1088.34,1095.5,218300.0
2019-08-16,1086.1728,1097.31,1053.45,1091.74,262100.0
2019-08-15,1062.48,1087.62,1053.45,1083.54,375900.0
2019-08-14,1070.0519,1075.32,1058.91,1059.68,386300.0
2019-08-13,1050.0,1085.64,1032.6,1081.28,432500.0
2019-08-12,1085.46,1085.6979,1065.35,1072.66,275100.0
2019-08-09,1087.13,1107.99,1084.37,1088.66,204100.0
2019-08-08,1077.66,1094.56,1077.66,1088.17,198900.0
2019-08-07,1076.8,1078.5,1057.055,1074.77,196600.0
2019-08-06,1062.59,1084.87,1054.4167,1082.26,232600.0
2019-08-05,1082.35,1084.61,1054.62,1062.92,391500.0
2019-08-02,1097.34,1101.8104,1086.83,1096.12,250700.0
2019-08-01,1124.17,1124.44,1094.54,1102.82,328100.0
2019-07-31,1142.439,1142.43,1108.33,1123.04,275000.0
2019-07-30,1146.78,1147.51,1139.59,1144.2,170400.0
2019-07-29,1143.14,1150.98,1139.72,1148.82,191900.0
2019-07-26,1146.0,1149.91,1142.49,1146.18,233900.0
2019-07-25,1167.44,1171.91,1142.11,1146.21,311700.0
2019-07-24,1171.3,1175.09,1162.34,1172.94,162400.0
2019-07-23,1175.3135,1176.4,1157.03,1171.31,180100.0
2019-07-22,1172.48,1179.3,1166.13,1175.16,177400.0
2019-07-19,1166.27,1181.02,1161.73,1172.25,205700.0
2019-07-18,1152.0,1163.13,1123.14,1162.85,319500.0
2019-07-17,1182.62,1182.5863,1158.55,1160.0,221100.0
2019-07-16,1179.61,1186.6,1169.67,1180.0,201500.0
2019-07-15,1169.33,1179.91,1163.72,1178.38,179700.0
2019-07-12,1147.18,1166.9,1147.18,1164.71,142800.0
2019-07-11,1148.97,1154.61,1144.29,1148.91,190500.0
2019-07-10,1147.12,1152.9,1139.73,1148.47,155700.0
2019-07-09,1143.38,1155.07,1139.85,1143.09,181000.0
2019-07-08,1131.79,1145.51,1129.58,1144.22,163500.0
2019-07-05,1129.65,1136.05,1124.055,1130.31,129800.0
2019-07-03,1119.71,1135.34,1116.66,1130.38,107500.0
2019-07-02,1102.79,1117.41,1100.14,1115.48,175300.0
2019-07-01,1109.0,1116.83,1091.82,1098.79,200900.0
2019-06-28,1094.93,1102.29,1085.23,1099.47,360700.0
2019-06-27,1090.6703,1092.5,1077.36,1084.08,204700.0
2019-06-26,1096.1,1099.81,1079.005,1086.6,244300.0
2019-06-25,1109.18,1109.4,1096.36,1097.83,261800.0
2019-06-24,1122.0073,1121.99,1103.21,1110.95,220300.0
2019-06-21,1125.98,1125.98,1110.26,1118.47,267400.0
2019-06-20,1124.98,1135.39,1113.4,1128.2,219200.0
2019-06-19,1124.13,1132.98,1105.7262,1122.65,276500.0
2019-06-18,1128.55,1135.23,1123.87,1126.0,279500.0
2019-06-17,1124.04,1127.5371,1119.13,1124.36,213500.0
2019-06-14,1116.53,1121.37,1108.06,1119.87,192500.0
2019-06-13,1115.53,1120.0,1107.46,1113.95,200100.0
2019-06-12,1095.9,1109.02,1090.28,1106.77,213300.0
2019-06-11,1114.23,1119.0,1092.97,1095.39,279700.0
2019-06-10,1105.1071,1119.76,1096.73,1111.23,188100.0
2019-06-07,1094.57,1111.11,1094.57,1099.14,333700.0
2019-06-06,1074.1,1094.99,1058.04,1090.54,345700.0
