,open,high,low,close,volume
2019-10-25,60.63,61.78,60.345,60.36,2241930.0
2019-10-24,59.4,61.01,58.19,60.77,2674800.0
2019-10-23,58.32,58.89,58.17,58.38,1771300.0
2019-10-22,58.61,58.98,57.8,58.47,1907100.0
2019-10-21,58.67,59.39,58.03,58.24,2230000.0
2019-10-18,58.33,59.04,58.28,58.92,1245700.0
2019-10-17,57.64,58.47,57.39,58.45,2046400.0
2019-10-16,56.93,57.7,56.73,57.24,1638800.0
2019-10-15,56.36,57.13,56.01,57.01,1522500.0
2019-10-14,56.68,56.68,55.95,56.1,2105500.0
2019-10-11,56.26,57.37,56.26,56.62,2447700.0
2019-10-10,55.56,56.19,55.36,55.68,1315700.0
2019-10-09,55.79,56.0,55.24,55.73,1215700.0
2019-10-08,55.42,55.95,54.99,55.24,959900.0
2019-10-07,55.83,56.74,55.43,56.23,1536700.0
2019-10-04,55.03,56.16,54.92,56.12,1119300.0
2019-10-03,54.28,54.98,53.47,54.92,1618400.0
2019-10-02,53.85,54.61,53.24,54.44,1850300.0
2019-10-01,55.09,55.79,54.03,54.4,1363400.0
2019-09-30,54.85,55.02,54.57,54.7,811700.0
2019-09-27,54.64,54.72,53.92,54.48,695700.0
2019-09-26,54.09,54.77,53.89,54.3,826400.0
2019-09-25,53.24,54.04,53.21,53.93,952900.0
2019-09-24,53.49,53.97,53.14,53.34,1396100.0
2019-09-23,52.57,53.59,52.3,53.19,933900.0
2019-09-20,53.33,53.69,52.64,52.75,1379000.0
2019-09-19,53.02,53.56,52.69,53.06,834800.0
2019-09-18,52.55,53.05,52.22,52.86,825800.0
2019-09-17,53.21,53.48,51.96,52.74,1190700.0
2019-09-16,54.07,54.43,53.34,53.45,1027300.0
2019-09-13,54.77,54.77,54.25,54.45,683900.0
2019-09-12,55.0,55.05,53.74,54.25,764200.0
2019-09-11,53.71,54.77,53.16,54.74,927800.0
2019-09-10,52.14,53.55,51.91,53.52,770600.0
2019-09-09,51.95,52.22,51.58,52.14,770900.0
2019-09-06,51.78,52.41,51.52,51.57,740200.0
2019-09-05,50.75,51.76,50.62,51.53,900300.0
2019-09-04,49.77,50.05,49.44,49.91,762600.0
2019-09-03,50.48,50.59,48.43,49.02,1115000.0
2019-08-30,51.32,51.36,50.79,51.06,686300.0
2019-08-29,50.21,50.93,50.19,50.89,768700.0
2019-08-28,49.16,49.97,49.0,49.72,1092800.0
2019-08-27,50.55,50.63,49.3,49.44,893400.0
2019-08-26,50.03,50.33,49.48,50.23,645600.0
