,open,high,low,close,volume
2019-10-25,215.07,220.07,214.52,218.11,315701.0
2019-10-24,214.09,216.37,212.98,215.85,537200.0
2019-10-23,219.81,220.03,212.81,214.47,817100.0
2019-10-22,218.54,221.43,216.82,219.08,628400.0
2019-10-21,217.13,217.43,215.69,217.34,498500.0
2019-10-18,215.28,216.8,214.44,215.75,348900.0
2019-10-17,214.55,216.1,214.47,214.76,325600.0
2019-10-16,214.33,215.92,212.88,213.59,327300.0
2019-10-15,215.26,216.89,215.14,215.39,374000.0
2019-10-14,213.27,216.61,212.68,213.87,574100.0
2019-10-11,215.21,216.45,212.75,213.62,538600.0
2019-10-10,208.39,212.03,207.69,211.3,584400.0
2019-10-09,207.21,209.2,205.57,208.35,626800.0
2019-10-08,214.58,220.15,207.2,208.01,1008800.0
2019-10-07,225.29,226.95,223.42,223.48,394000.0
2019-10-04,225.82,227.99,223.41,227.0,420900.0
2019-10-03,221.81,224.93,218.7,224.56,695700.0
2019-10-02,222.09,223.12,219.87,221.99,528400.0
2019-10-01,224.43,225.55,221.82,224.2,497100.0
2019-09-30,222.69,226.47,222.69,223.23,459600.0
2019-09-27,218.72,222.89,218.28,222.53,557800.0
2019-09-26,220.5,220.61,216.3,217.23,509400.0
2019-09-25,220.73,220.73,216.29,220.2,501700.0
2019-09-24,228.53,228.62,220.35,221.04,616000.0
2019-09-23,227.86,229.23,226.43,227.79,449300.0
2019-09-20,228.9,231.67,228.28,228.7,1334100.0
2019-09-19,228.11,229.21,227.51,228.7,521600.0
2019-09-18,228.6,228.97,225.78,228.34,509500.0
2019-09-17,231.57,231.66,228.61,228.69,439600.0
2019-09-16,230.14,232.25,230.14,231.52,478800.0
2019-09-13,231.95,234.9,229.9,232.13,481600.0
2019-09-12,233.61,237.51,232.78,232.78,690900.0
2019-09-11,224.2,234.82,224.2,231.26,845200.0
2019-09-10,216.57,223.27,215.61,223.19,607900.0
2019-09-09,217.8,217.8,213.34,217.07,373300.0
2019-09-06,219.1,219.1,216.5,217.24,482100.0
2019-09-05,214.33,219.11,214.13,218.12,607400.0
2019-09-04,213.71,214.61,210.41,212.19,466400.0
2019-09-03,210.42,213.43,209.32,211.59,641000.0
2019-08-30,212.3,213.87,211.34,211.89,497200.0
2019-08-29,209.17,211.67,208.51,210.92,437500.0
2019-08-28,203.5,206.63,202.02,206.35,281000.0
2019-08-27,204.11,205.05,202.68,204.19,370100.0
2019-08-26,206.12,206.91,202.04,203.05,449200.0
2019-08-23,209.52,211.61,204.1,204.96,657200.0
2019-08-22,210.96,211.98,208.4,209.99,362800.0
2019-08-21,209.19,210.95,207.68,210.18,287100.0
2019-08-20,209.29,210.84,207.4,207.53,376400.0
2019-08-19,207.6,210.95,207.5,209.87,542900.0
2019-08-16,203.99,207.09,200.56,205.54,651800.0
2019-08-15,201.95,203.28,200.56,202.26,463400.0
2019-08-14,205.41,206.09,199.87,200.04,561000.0
