,open,high,low,close,volume
2018-12-21,92.33,92.33,92.33,92.33,0.0
2018-12-20,95.57,95.87,92.11,92.33,31612912.0
2018-12-19,94.98,97.7,94.6,95.8,12738175.0
2018-12-18,97.21,97.73,94.53,95.03,6044176.0
2018-12-17,97.4,97.66,96.26,96.64,6946163.0
2018-12-14,99.87,99.98,97.76,98.22,8031772.0
2018-12-13,97.09,99.18,97.09,98.95,8429004.0
2018-12-12,97.62,97.97,96.85,96.93,4117094.0
2018-12-11,97.08,97.54,95.7,96.42,4499128.0
2018-12-10,96.28,96.59,94.55,96.01,3468382.0
2018-12-07,97.7,98.57,95.53,95.85,5394550.0
2018-12-06,97.47,99.0969,96.03,97.98,5033437.0
2018-12-04,100.64,100.95,98.73,98.87,5421427.0
2018-12-03,101.51,101.73,99.5,100.64,6009474.0
2018-11-30,101.01,101.49,100.39,101.47,4674212.0
2018-11-29,100.41,101.713,100.28,101.22,3256833.0
2018-11-28,99.61,101.19,99.24,101.1,5984412.0
2018-11-27,99.09,99.57,98.11,99.54,4539158.0
2018-11-26,97.45,99.84,97.19,99.12,5134355.0
2018-11-23,94.53,97.02,92.9488,96.81,1440925.0
2018-11-21,95.05,97.12,95.05,95.33,6467128.0
2018-11-20,97.27,97.7,95.19,95.29,7926765.0
2018-11-19,97.7,97.96,96.47,96.9,3764363.0
2018-11-16,97.23,98.13,97.23,97.64,3630042.0
2018-11-15,95.97,98.1262,95.6561,97.46,3318435.0
2018-11-14,97.16,97.75,96.38,96.48,3865499.0
2018-11-13,98.6,98.725,96.76,96.88,4444130.0
2018-11-12,98.67,99.02,98.16,98.2,2930577.0
2018-11-09,99.35,99.66,98.45,98.48,3391869.0
2018-11-08,99.0,99.9,98.85,99.32,3991591.0
2018-11-07,98.93,100.43,98.86,99.48,5331459.0
2018-11-06,97.68,98.54,97.31,98.19,3557427.0
2018-11-05,96.75,97.93,96.75,97.45,2061970.0
2018-11-02,98.0,98.09,95.92,96.74,2335772.0
2018-11-01,98.0,98.98,96.11,97.24,3953871.0
2018-10-31,95.74,97.63,95.43,96.97,4246814.0
2018-10-30,95.4,95.84,94.43,95.42,2716583.0
2018-10-29,95.05,95.88,93.63,94.87,2907195.0
2018-10-26,94.37,95.27,93.625,94.28,3492239.0
